143,62,280,62,280,81,143,81,abc
100,81,324,81,324,100,100,100,abc
140,110,161,110,161,129,140,129,abc
160,105,176,105,176,136,160,136,abc
179,105,189,105,189,117,179,117,abc
176,117,281,117,281,130,176,130,abc
342,65,642,65,642,85,342,85,abc
394,85,589,85,589,102,394,102,abc
407,117,646,117,646,136,407,136,abc
311,156,432,156,432,180,311,180,abc
103,180,515,180,515,199,103,199,abc
516,181,639,181,639,202,516,202,abc
109,200,553,200,553,221,109,221,abc
555,205,627,205,627,219,555,219,abc
210,234,529,234,529,255,210,255,abc
133,266,564,266,564,289,133,289,abc
565,273,637,273,637,291,565,291,abc
100,289,324,289,324,307,100,307,abc
328,290,636,290,636,308,328,308,abc
100,307,639,307,639,327,100,327,abc
101,383,263,383,263,402,101,402,abc
135,411,510,411,510,428,135,428,abc
515,412,635,412,635,431,515,431,abc
100,428,364,428,364,446,100,446,abc
370,430,635,430,635,452,370,452,abc
100,446,238,446,238,466,100,466,abc
134,469,440,469,440,492,134,492,abc
140,497,508,497,508,520,140,520,abc
131,523,612,523,612,547,131,547,abc
130,546,634,546,634,572,130,572,abc
130,572,621,572,621,598,130,598,abc
130,601,634,601,634,620,130,620,abc
97,620,249,620,249,638,97,638,abc
130,645,292,645,292,666,130,666,abc
97,701,159,701,159,719,97,719,abc
103,724,288,724,288,742,103,742,abc
105,746,176,746,176,761,105,761,abc
441,703,612,703,612,726,441,726,abc
532,824,602,824,602,844,532,844,abc
491,842,647,842,647,876,491,876,abc
100,327,640,327,640,345,100,345,abc
100,345,637,345,637,365,100,365,abc
100,365,638,365,638,384,100,384,abc
