630,109,755,109,755,130,630,130,abc
642,132,905,132,905,155,642,155,abc
644,158,948,158,948,181,644,181,abc
630,178,675,178,675,199,630,199,abc
63,246,101,246,101,265,63,265,abc
111,223,301,223,301,243,111,243,abc
113,267,238,267,238,287,113,287,abc
307,232,472,232,472,254,307,254,abc
503,245,581,245,581,268,503,268,abc
630,206,949,206,949,228,630,228,abc
633,292,920,292,920,313,633,313,abc
62,406,106,406,106,425,62,425,abc
113,384,299,384,299,405,113,405,abc
308,393,470,393,470,416,308,416,abc
503,395,578,395,578,418,503,418,abc
631,320,951,320,951,341,631,341,abc
632,361,787,361,787,382,632,382,abc
631,388,948,388,948,410,631,410,abc
630,410,774,410,774,430,630,430,abc
503,467,581,467,581,489,503,489,abc
628,440,951,440,951,459,628,459,abc
631,500,814,500,814,522,631,522,abc
62,568,99,568,99,586,62,586,abc
114,545,300,545,300,568,114,568,abc
114,591,236,591,236,611,114,611,abc
305,554,468,554,468,578,305,578,abc
631,530,951,530,951,550,631,550,abc
628,615,816,615,816,637,628,637,abc
495,644,516,644,516,661,495,661,abc
114,246,300,246,300,265,114,265,abc
114,405,301,405,301,426,114,426,abc
114,425,298,425,298,448,114,448,abc
114,568,296,568,296,590,114,590,abc
305,255,482,255,482,279,305,279,abc
308,415,480,415,480,440,308,440,abc
305,578,479,578,479,604,305,604,abc
631,228,949,228,949,248,631,248,abc
629,248,948,248,948,271,629,271,abc
631,270,948,270,948,291,631,291,abc
630,341,952,341,952,361,630,361,abc
627,459,951,459,951,480,627,480,abc
629,482,948,482,948,502,629,502,abc
630,551,952,551,952,571,630,571,abc
631,571,949,571,949,593,631,593,abc
629,593,948,593,948,615,629,615,abc
