103,76,302,76,302,95,103,95,abc
103,124,123,124,123,141,103,141,abc
125,120,151,120,151,140,125,140,abc
151,126,264,126,264,142,151,142,abc
104,141,376,141,376,161,104,161,abc
381,78,662,78,662,97,381,97,abc
434,97,606,97,606,113,434,113,abc
390,126,529,126,529,145,390,145,abc
529,124,549,124,549,144,529,144,abc
551,126,669,126,669,146,551,146,abc
211,191,561,191,561,215,211,215,abc
136,229,669,229,669,247,136,247,abc
101,247,672,247,672,264,101,264,abc
98,282,501,282,501,302,98,302,abc
134,300,668,300,668,318,134,318,abc
103,318,181,318,181,336,103,336,abc
135,337,670,337,670,355,135,355,abc
103,355,570,355,570,374,103,374,abc
134,373,526,373,526,391,134,391,abc
133,392,666,392,666,409,133,409,abc
100,409,268,409,268,426,100,426,abc
134,425,669,425,669,444,134,444,abc
100,444,321,444,321,461,100,461,abc
133,461,669,461,669,480,133,480,abc
100,480,336,480,336,498,100,498,abc
132,499,613,499,613,515,132,515,abc
133,535,516,535,516,551,133,551,abc
131,552,600,552,600,570,131,570,abc
131,570,547,570,547,589,131,589,abc
132,606,663,606,663,625,132,625,abc
97,624,665,624,665,642,97,642,abc
96,641,301,641,301,661,96,661,abc
134,676,663,676,663,696,134,696,abc
96,695,397,695,397,714,96,714,abc
130,731,272,731,272,750,130,750,abc
445,784,637,784,637,803,445,803,abc
161,843,222,843,222,860,161,860,abc
161,861,240,861,240,876,161,876,abc
495,883,592,883,592,905,495,905,abc
104,94,328,94,328,113,104,113,abc
101,263,672,263,672,283,101,283,abc
132,514,622,514,622,533,132,533,abc
161,876,263,876,263,891,161,891,abc
