1,102,294,102,294,130,1,130,abc
81,130,197,130,197,151,81,151,abc
1,153,319,153,319,175,1,175,abc
1,193,19,193,19,217,1,217,abc
23,190,73,190,73,218,23,218,abc
79,190,279,190,279,214,79,214,abc
338,103,698,103,698,128,338,128,abc
381,129,650,129,650,152,381,152,abc
327,193,486,193,486,217,327,217,abc
489,187,523,187,523,217,489,217,abc
522,191,572,191,572,218,522,218,abc
578,180,609,180,609,217,578,217,abc
600,194,688,194,688,217,600,217,abc
255,245,415,245,415,279,255,279,abc
171,276,493,276,493,302,171,302,abc
220,307,451,307,451,333,220,333,abc
6,360,660,360,660,390,6,390,abc
9,426,709,426,709,457,9,457,abc
1,460,709,460,709,491,1,491,abc
1,494,185,494,185,521,1,521,abc
10,525,703,525,703,553,10,553,abc
1,556,700,556,700,585,1,585,abc
2,588,155,588,155,615,2,615,abc
20,616,694,616,694,645,20,645,abc
1,646,94,646,94,673,1,673,abc
257,677,402,677,402,710,257,710,abc
19,730,699,730,699,764,19,764,abc
1,768,700,768,700,797,1,797,abc
1,805,587,805,587,832,1,832,abc
16,839,308,839,308,869,16,869,abc
23,878,702,878,702,908,23,908,abc
1,913,540,913,540,943,1,943,abc
545,922,579,922,579,943,545,943,abc
1,973,70,973,70,994,1,994,abc
1,993,118,993,118,1059,1,1059,abc
462,972,587,972,587,1000,462,1000,abc
458,1146,582,1146,582,1170,458,1170,abc
