630,108,951,108,951,128,630,128,abc
630,127,785,127,785,146,630,146,abc
640,149,820,149,820,172,640,172,abc
640,175,879,175,879,196,640,196,abc
63,256,107,256,107,278,63,278,abc
117,247,300,247,300,267,117,267,abc
115,270,251,270,251,290,115,290,abc
309,245,475,245,475,266,309,266,abc
503,255,580,255,580,278,503,278,abc
633,204,950,204,950,224,633,224,abc
630,269,815,269,815,287,630,287,abc
641,290,824,290,824,312,641,312,abc
642,315,889,315,889,336,642,336,abc
63,342,95,342,95,361,63,361,abc
116,339,631,339,631,364,116,364,abc
65,389,102,389,102,413,65,413,abc
118,381,301,381,301,402,118,402,abc
114,402,182,402,182,422,114,422,abc
309,390,472,390,472,414,309,414,abc
503,391,579,391,579,415,503,415,abc
631,371,952,371,952,392,631,392,abc
631,414,812,414,812,436,631,436,abc
64,442,92,442,92,465,64,465,abc
120,441,625,441,625,466,120,466,abc
64,504,105,504,105,527,64,527,abc
116,484,300,484,300,503,116,503,abc
119,527,161,527,161,549,119,549,abc
308,505,470,505,470,528,308,528,abc
504,506,583,506,583,527,504,527,abc
630,473,950,473,950,496,630,496,abc
633,536,883,536,883,561,633,561,abc
63,586,105,586,105,608,63,608,abc
117,565,302,565,302,585,117,585,abc
117,607,152,607,152,632,117,632,abc
309,585,470,585,470,609,309,609,abc
505,586,581,586,581,610,505,610,abc
632,566,951,566,951,588,632,588,abc
498,639,522,639,522,665,498,665,abc
630,225,949,225,949,246,630,246,abc
631,246,950,246,950,268,631,268,abc
631,394,952,394,952,413,631,413,abc
631,496,950,496,950,517,631,517,abc
631,516,948,516,948,536,631,536,abc
633,590,950,590,950,610,633,610,abc
631,610,949,610,949,631,631,631,abc
116,505,300,505,300,525,116,525,abc
116,588,298,588,298,607,116,607,abc
308,268,489,268,489,292,308,292,abc
