633,563,935,564,935,581,633,581
630,311,947,311,947,329,630,329
631,452,918,452,918,469,631,468
632,361,942,361,942,378,632,378
634,108,946,108,946,125,634,125
631,170,943,171,943,188,631,187
632,149,941,149,941,166,632,166
634,129,942,129,942,145,634,145
632,535,911,535,911,552,632,552
629,291,940,291,940,307,629,307
635,270,947,270,947,287,635,287
632,423,876,423,876,440,632,440
629,605,839,605,839,622,629,622
104,571,292,571,292,589,104,589
637,242,932,242,932,258,637,258
114,278,285,278,285,294,114,294
633,584,943,584,943,602,633,602
107,593,286,593,286,609,107,609
632,473,945,473,945,490,632,490
631,332,766,332,766,349,631,349
631,382,945,382,945,398,631,398
629,191,762,191,762,208,629,208
628,220,942,220,942,237,628,237
629,515,943,515,943,531,629,531
630,402,941,402,941,419,630,419
627,494,940,494,940,510,627,510
105,468,292,468,292,486,105,486
104,216,291,216,291,234,104,234
297,389,462,389,462,406,297,406
106,379,267,379,267,396,106,395
302,228,462,228,462,246,302,246
112,319,172,319,172,336,112,336
295,490,462,490,462,508,295,508
297,581,467,581,467,599,297,599
107,491,287,491,287,508,107,507
110,400,234,400,234,417,110,417
298,298,463,298,463,316,298,316
112,511,196,511,196,527,112,527
499,298,578,298,578,317,499,316
499,389,577,389,577,406,499,406
500,229,578,229,578,246,500,246
119,300,188,300,188,315,119,315
497,582,576,582,576,600,497,600
109,239,185,239,185,255,109,255
56,489,98,489,98,506,56,506
56,581,99,581,99,598,56,598
56,389,100,389,100,405,56,405
498,491,576,491,576,508,498,508
57,297,92,297,92,313,57,313
247,298,293,298,293,314,247,314
55,227,94,227,94,243,55,243
494,641,512,641,512,658,494,658
201,301,235,301,235,315,201,315
