131,340,545,340,545,357,131,357
81,448,507,448,507,466,81,466
128,504,542,504,542,521,128,521
131,560,546,560,546,577,131,577
115,172,529,172,529,190,115,190
112,280,536,280,536,298,112,298
111,230,525,230,525,248,111,248
138,391,551,391,551,408,138,408
103,412,520,412,520,429,103,429
102,362,515,362,515,378,102,378
89,615,467,615,467,632,89,632
69,310,430,310,430,328,69,328
57,583,401,583,401,600,57,600
309,10,629,10,629,30,309,30
361,40,592,40,592,59,361,59
0,473,254,473,254,489,0,489
56,527,300,527,300,544,56,544
361,653,593,653,593,673,361,673
334,91,629,91,629,107,334,107
19,708,203,708,203,722,19,722
421,798,524,798,524,819,421,818
272,139,385,139,385,160,272,160
102,90,193,90,193,107,102,107
427,682,517,682,517,702,427,702
18,733,81,733,81,748,18,748
22,11,242,11,242,30,22,30
32,654,104,654,104,670,32,670
21,683,81,683,81,697,21,697
