161,24,565,24,565,46,161,46
177,716,585,716,585,739,177,739
139,939,542,939,542,962,139,962
162,903,547,904,547,928,162,927
109,676,491,677,491,700,109,700
92,79,478,79,478,102,92,102
121,639,498,639,498,662,121,662
169,450,572,450,572,474,169,474
127,1014,527,1014,527,1037,127,1037
75,752,441,752,441,775,75,775
87,190,472,190,472,213,87,213
91,269,462,269,462,293,91,292
59,600,419,600,419,623,59,622
50,864,403,864,403,888,50,888
62,829,416,829,416,852,62,852
35,522,334,522,334,545,35,545
38,223,363,223,363,247,38,247
35,976,321,976,321,1000,35,999
41,789,380,789,380,813,41,813
56,560,318,560,318,586,56,586
26,143,224,143,224,168,26,168
33,484,217,484,217,508,33,508
237,381,445,381,445,412,237,412
69,113,430,113,430,135,69,135
528,204,635,204,635,231,528,231
284,1099,432,1099,432,1115,284,1115
526,283,627,283,627,310,526,310
39,302,284,302,284,326,39,326
522,107,626,107,626,135,522,135
269,301,354,301,354,326,269,326
16,1076,50,1076,50,1097,16,1097
