168,306,560,306,560,323,168,323
176,326,572,326,572,342,176,342
182,476,561,476,561,492,182,492
195,285,571,285,571,301,195,301
180,434,577,434,577,451,180,451
182,393,578,393,578,410,182,410
201,373,575,373,575,390,201,390
183,455,572,455,572,471,183,471
176,414,578,414,578,431,176,431
253,494,623,494,623,511,253,511
223,240,504,240,504,257,223,257
88,518,328,519,328,535,88,535
97,627,352,627,352,641,97,641
71,159,269,159,269,173,71,173
348,79,625,79,625,97,348,96
378,100,581,100,581,115,378,115
115,656,322,656,322,670,115,670
110,670,376,670,376,684,110,684
446,551,644,551,644,569,446,569
105,685,283,685,283,699,105,699
108,643,309,643,309,656,108,656
101,598,338,598,338,613,101,613
72,84,263,84,263,101,72,101
102,728,285,728,285,742,102,742
104,714,305,714,305,728,104,728
102,614,280,614,280,627,102,627
90,175,250,175,250,189,90,189
357,138,586,138,586,154,357,154
95,350,223,350,223,366,95,366
105,700,230,700,230,714,105,714
494,709,604,709,604,727,494,727
104,571,161,571,161,585,104,585
102,141,251,141,251,156,102,156
98,557,156,557,156,571,98,571
