199,383,569,383,569,403,199,403
163,408,552,408,552,425,163,425
205,332,574,332,574,350,205,350
182,459,545,459,545,478,182,478
171,518,533,518,533,537,171,537
116,303,473,303,473,320,116,320
139,280,506,280,506,298,139,298
206,198,524,198,524,217,206,216
225,168,499,168,499,187,225,187
134,489,445,489,445,508,134,508
407,96,647,96,647,115,407,115
46,355,269,355,269,374,46,374
175,256,495,256,495,275,175,274
379,39,684,39,684,58,379,58
431,596,556,596,556,620,431,620
306,136,421,136,421,157,306,157
425,688,564,688,564,707,425,707
67,56,302,56,302,74,67,74
414,59,653,59,653,78,414,78
51,38,343,38,343,57,51,57
58,431,99,431,99,448,58,448
