640,451,949,451,949,469,640,468
629,186,952,186,952,204,629,203
634,228,957,229,957,246,634,246
632,207,956,207,956,224,632,224
638,249,950,249,950,266,638,266
634,270,937,270,937,287,634,287
516,136,893,136,893,154,516,153
150,135,544,135,544,151,150,151
633,108,788,108,788,125,633,124
633,556,948,556,948,574,633,574
300,346,467,346,467,363,300,363
121,293,273,293,273,309,121,309
631,536,936,536,936,552,631,552
634,515,946,515,946,532,634,532
109,375,231,375,231,392,109,392
631,325,812,325,812,342,631,342
105,355,290,355,290,371,105,371
631,472,714,472,714,488,631,488
108,575,269,575,269,592,108,592
104,334,292,334,292,351,104,351
502,431,579,431,579,457,502,457
631,383,751,383,751,401,631,401
296,529,462,529,462,548,296,548
631,578,741,578,741,594,631,594
300,555,467,555,467,573,300,573
106,554,295,554,295,570,106,570
109,314,234,315,234,330,109,330
303,320,462,320,462,340,303,340
501,484,577,484,577,501,501,501
500,356,578,356,578,380,500,380
109,534,231,534,231,550,109,550
112,156,148,156,148,171,112,171
112,511,197,511,197,529,112,529
502,456,576,456,575,478,502,478
501,323,577,324,577,341,501,341
502,404,578,404,578,425,502,425
226,314,283,314,283,330,226,330
179,513,269,513,269,528,179,528
57,543,93,543,93,560,57,560
252,514,297,514,297,529,252,529
56,334,91,334,91,350,56,350
222,534,280,534,280,550,222,550
492,641,514,641,514,657,492,657
632,293,667,293,667,307,632,307
57,144,82,144,82,159,57,159
